Date,TempC
6/26/2025 11:30,16.999
6/26/2025 11:45,17.094
6/26/2025 12:00,17.284
6/26/2025 12:15,17.475
6/26/2025 12:30,17.76
6/26/2025 12:45,17.95
6/26/2025 13:00,18.331
6/26/2025 13:15,18.901
6/26/2025 13:30,19.758
6/26/2025 13:45,20.424
6/26/2025 14:00,22.717
6/26/2025 14:15,22.621
6/26/2025 14:30,23.196
6/26/2025 14:45,23.004
6/26/2025 15:00,23.292
6/26/2025 15:15,23.196
6/26/2025 15:30,23.196
6/26/2025 15:45,22.812
6/26/2025 16:00,20.71
6/26/2025 16:15,19.758
6/26/2025 16:30,23.004
6/26/2025 16:45,22.238
6/26/2025 17:00,19.948
6/26/2025 17:15,17.57
6/26/2025 17:30,17.57
6/26/2025 17:45,19.092
6/26/2025 18:00,17.189
6/26/2025 18:15,16.903
6/26/2025 18:30,16.713
6/26/2025 18:45,16.903
6/26/2025 19:00,16.332
6/26/2025 19:15,15.855
6/26/2025 19:30,15.473
6/26/2025 19:45,15.473
6/26/2025 20:00,15.473
6/26/2025 20:15,15.378
6/26/2025 20:30,15.282
6/26/2025 20:45,15.187
6/26/2025 21:00,14.996
6/26/2025 21:15,16.618
6/26/2025 21:30,16.903
6/26/2025 21:45,16.808
6/26/2025 22:00,16.903
6/26/2025 22:15,16.808
6/26/2025 22:30,16.713
6/26/2025 22:45,16.618
6/26/2025 23:00,16.618
6/26/2025 23:15,16.618
6/26/2025 23:30,16.618
6/26/2025 23:45,16.618
6/27/2025 0:00,16.523
6/27/2025 0:15,16.523
6/27/2025 0:30,16.523
6/27/2025 0:45,16.523
6/27/2025 1:00,16.523
6/27/2025 1:15,16.427
6/27/2025 1:30,16.332
6/27/2025 1:45,16.237
6/27/2025 2:00,16.141
6/27/2025 2:15,15.855
6/27/2025 2:30,15.664
6/27/2025 2:45,14.613
6/27/2025 3:00,14.421
6/27/2025 3:15,14.421
6/27/2025 3:30,14.517
6/27/2025 3:45,14.517
6/27/2025 4:00,14.613
6/27/2025 4:15,14.613
6/27/2025 4:30,14.709
6/27/2025 4:45,14.709
6/27/2025 5:00,14.709
6/27/2025 5:15,14.709
6/27/2025 5:30,14.709
